question,wrong_choices,correct_answer
"The waves which are used for line of sight (LOS) communication are called:","Cable waves, Antenna waves, None of these","Space waves"
"A wire of uniform area of cross -section A length L and resistance R is cut into two parts. The resistivity of each part:","Become zero, Is halved, Is doubled",")remains same"
"A potential difference is applied across the ends of a wire. If the potential difference is doubled, then the drift velocity of free electron will.","be quadrupled, be halved, remain unchanged","be doubled"
"Relation between linear velocity and angular velocity:","r=vw, s=r, ∆s/∆t","v=rw"
"If the axis of rotation passes through the body and the body moves around itself then the motion is called:","Orbital motion, Rectilinear motion, Translatory motion","Spin motion"
"Which instrument is used to detect path of visible rays?","Geiger counter, Solid State Detector, None of the above","Wilson Cloud Detector"
"Earth’s orbital speed is __________?","70 km/s, 60 km/s, 45 km/s","30 km/s"
"The antiparticle of electron is: ______?","Proton, Meson, Neutron","Positron"
"A photon is always considered to be: ________?","At rest, In accelerated form, Moving with speed of sound","Moving with speed of light"
"A black body emitting all the radiation in the visible region appears________.","Green, Blue, Black","White"
"Compton’s effects was presented by: ________?","Mosely, Marley, Stefan Boltzman","Arthur Holly Compton"
"Due to the relative motion of observer and frame of reference time:","Contracts, Constant, Uniform","Dilates"
"The mass of an object will get doubled at the speed of __________?","2.6×10⁴ m/s, 2.6×10² m/s, 2.6×10 m/s","2.6×10⁶ m/s"
"Mass-Energy relation given by Einstein in represented as: ____________?","E=hf, E=m²c, E=mv²","E=mc²"
"A black body has the property to _____________ all the radiation entering it.","Exude, Reflect, None of these","Absorb"
"Modern system of navigation satellites called ___________?","Inertia frames of reference, Proton, None of these","Navstar"
"As a result of annihilation of electron and positron, number of γ–ray (Gama ray) photons are: ________?","Three, Four, One","Two"
"and have the same __________?","Affect in charging a capacitor, Affect in charging a battery, Affect while passing through an inductance","Heating effect through a resistance"
"A low resistance which can bypass a current is: _____________?","Divider, Multiplier, None of these","Shunt"
"1 Weber / m² is equal to __________?","One gauss, 3×10¹⁰ gauss, 1/3×10^-8 gauss","10⁴ gauss"
"An electric motor could be used as a: ___________?","Battery, Capacitor, Transformer","Dynamo"
"The dimension of velocity are __________?","LT, LMT, LMT^-1","LT^-1"
"An example of scalar quantity is _________?","Displacement, Velocity, Acceleration","Speed"
"For anti-parallel vectors angle is equal to ____________?","90°, 270°, None of these","180°"
"A vector which has magnitude one is called _________?","A resultant vector, A null vector, A position vector","A unit vector"
"If Ax is -ve and Ay is +ve, the resultant is:___________?","4th, 3rd, 1st","2nd"
"If vectors a and b are antiparallel to each other then their resultant is ___________?","2b, 2a, a+b","a−b"
"What is the SI unit of acceleration is ___________?","Meter per secound, Both, All","meter per second square"
"The SI unit of Heat is________?","Watt, Volt, Newton","Joule"
"An elevator weighing 3.5 x 10-6 N is raised to a height of 1000 m in the absence of friction, the work done is_________________?","3.5 x 104 J, 3.5 x 106 J, 3.5 x 109 J","3.5 x 10-3 J"
"The unit of entropy is________________?","J.K, N.m/sec, Kgm2/sec2.K","J/K"
"If a wire has a resistance of 0.5 ohm, then its conductance is:","1 S, 1.5 S, 5 S","2 S"
"Area under the curve of velocity-time graph gives_______?","Force, Acceleration, Momentum","Displacement"
"If the velocity-time graph gives a parabolic curve then body posses______?","Constant acceleration, Zero acceleration, All of these","Variable acceleration"
"The slope of velocity-time graph gives_______?","Speed, Velocity, All of these","Acceleration"
"When average and instantaneous velocities become equal then body possess_______?","Variable Velocity, Uniform Acceleration, Variable Acceleration","Uniform Velocity"
"If the distance-time graph gives a straight line then body possesses___________?","Zero Velocity, Variable Velocity, None","Uniform Velocity"
"The ratio of displacement to distance can not be___________?","Equal to one, Less than one, All are possible","Greater than one"
"Newton’s first law of motion is valid in_______?","Accelerated frame of reference, Non-inertial frame of reference, None","Inertial frame of reference"
"Speed of a body can not be_______?","Zero, Positive, None","Negative"
"Which of the following is reverse process of composition of vectors?","Addition of vectors, Subtraction of vectors, Multiplication of vectors","Resolution of vectors"
"If a vector Ā is making an angle “∅” with positive y-axis then which of the following is correct.?","Ax= ACos∅, Ay= ASin∅, None","Ay= ACos∅"
"Addition of vectors obeys_______law?","Commutative Law, Associative Law, Distributive Law","All of these"
"Which of the following group of forces can produce equilibrium?","12N, 5N, 20N, 4N ,2N, 10N, 10N, 18N","12N, 5N, 15N"
"Angle between the rectangular components of a vector is________?","Zero, 30°, 45°","90°"
"What is the minimum number of unequal magnitude vectors required to get a null vector?","Zero, Two, None","Three"
"Which of the following pair of forces can produce a resultant of 8N?","2N & 5N, 20N & 2N, 4N & 1N","3N & 6N"
"Which of the following can not be the resultant of two vectors having magnitude 10N and 15N?","18N, 22N, 25N","30N"
"The vector A= 2i^+2j^ makes_______ angle with x-axis.?","30°, 60°, 90°","45°"
"For what value of “a” , the magnitude of a vector A= 2i^+j^+ak^ should be 3?","-2, 2, 4","Both A & B"
"A vector can have maximum________components in space.?","Zero, Two, Infinite","Three"
"A vector can have maximum________components in a plane.?","Zero, Three, Infinite","Two"
"The mass of Platinum cylinder kept near Paris is________?","1 gram, 100 Kg, None","1 Kg"
"A train is moving with a speed of 100mph. What will be its speed in m/s.?","90 m/s, 100 m/s, 120 m/s","45 m/s"
"Which of the following is not a unit of length?","light year, angstrom, micron","radian"
"Study of sound is called _____________?","Soundlogy, Neurology, Physiology","Acoustics"
"We have two bodies, One is moving with 2m/s velocity and other is at rest, which one has greater inertia?","Moving body, Body is at rest, Both have not any inertia","Both have same inertia because inertia depends upon mass only"
"Inertia is depends upon only?","Velocity, Direction, Time","Mass"
"Unit vector is used to specify the _____________?","Magnitude, Velocity, Frequency","Direction of vector"
"Product of wavelength and time period is _______________?","Frequency, Time period, Wavelength","Velocity"
"Product of time period and frequency is ____________?","Time period, Frequency, Velocity","Unity"
"1atm is equal to","760 torr, 760 mmHg, 101.3 kPa","all of the above"
"Which of the following is path funtion?","Internal energy, Enthalpy, Entropy","work and heat"
"The system which can exchange matter as well as energy with its surroundings is called____________?","Closed system, Isolated system, Inert system","open system"
"The process in which no heat enters or leave the system known as _____________?","Isochoric, Isobaric, Isothermal","adiabatic"
"Mach is the unit of measurement in stating the speed of a moving object in relation to__________?","The speed of other object, The speed of light, The speed of air resistance","The speed of sound"
"When two charges are placed in water then the Coulomb force between them reduces to _____________?","1/2 times, 1/3 times, 1/58 times","1/78 times"
"Which one of the following of glass can cut ultraviolet rays?","Jena Glass, Soda Glass, Pyrex Glass","Crookes Glass"
"Optics does not deal with ___________?","Nature of light waves, Properties of light, Lenses and mirrors","Characteristics of sound"
"Length, mass, time, intensity of light and amount of substance are examples of ____________?","Derived quantities, Prefixes, Quartile quantities","Base quantities"
"The anti-matter is composed of: __________________?","Anti-electrons, Anti-proton, Anti-neutron","All of these"
"Power of a lens is one diopter if its focal length is","2 meter, ½ meter, ¼ meter","1 meter"
"Which of the following is a good moderator?","Helium, Cadmium, Ordinary Water","Graphite"
"Intensity level of threshold of pain is: _____________?","60 db, 80 db, 100 db","120 db"
"Value of ‘g’ at the surface of moon is _____________?","6ge, 2ge, Zero","ge/6"
"What is wavelength of visible spectrum?","8500 – 9800 angstrom, 7800 – 8000 angstrom, 1300 – 3000 angstrom","3900 – 7600 angstrom"
"The co efficient of linear expansion is equal to__________?","ΔL = αLΔT, LΔT/ΔL, αLΔT-ΔL","ΔL/LΔT"
"When a projectile moves upward , its vertical component of velocity?","increase, Remains same, None of these","Decrease"
"Ceramic magnets are_______?","Semiconductors, Conductors, None of these","Insulators"
"The reverse of LED is______?","Diode, Resistor, Capacitor","Photodiode"
"The light used in optical fiber transmission is________?","Dichromatic, Pentachromatic, None of these","Monochromatic"
"The back emf of a motor which is just started is_________?","Maximum, Minimum, Optimum","Zero"
"If the momentum of an object is increased twice, then what will be the kinetic energy?","Twice, Thrice, Sixteen times","Four times"
"A body is falling freely under gravity. How much distance it falls during an interval of time between 1st and 2nd seconds of its motion, taking g=10 ?","20 m, 5 m, 25 m","15 m"
"A ball of mass 0.2 kg is thrown vertically upwards by applying a force by hanIf the hand moves 0.2 m while applying the force and the ball goes up to 2 in height further, find the magnitude of the force. Consider g = 10m/s 2","16N, 20N, 4N","22N"
"Rainbow is seen after rain because of hanging molecules of water which act as __________?","Lens, Mirror, Slabs","Prism"
"Field particle of Electromagnetic interaction is _________?","Meson, Vector Boson, Graviton","Photon"
"Frequency is the inverse of __________?","Velocity, Stress, Gravity","Time Period"
"In addition to the daughter nucleus and an electron or positron, the products of a beta decay","Neutrons, Alpha particle, Proton","Neutrino"
"Newton’s first law of motion gives the concept of _________?","Energy, Work, Momentum","Inertia"
"The unit of power is _________?","Joule, Newton, Pascal","watt"
"Force 100N is applied on a wire produces extension 5mm in it. Energy stored in it is","0.125 J, 0.50 J, 1 J","0.250 J"
"A___________has no size or shape, just position.","line, bottom, vertex","point"
"The synopsis of Einstein’s equation E = mc² is that","The faster you move, the lighter you get, The slower you move, the heavier you get, None of the above","The faster you move, the heavier you get"
"Neutron was discovered by: _________?","Rutherford, Neil Bohr, Einstein","Chadwick"
"Tesla is the unit for measuring:","Magnetic intensity, Magnetic moment, None of the above","Magnetic induction"
"The distance between any two consecutive nodes or antinodes in a stationary wavelength (λ) is _________?","λ, λ/4, λ/8","λ/2"
"Two coherent sources of light produce interference (destructive) when the phase difference between them is _________?","2π, π/2, π/4","π"
"Mohus scale is used for to measure ____________?","Humidity, Pressure, Temperature","Hardness"
"The unit of force in CGS, system is __________?","Newton, Pound, None of these","Dyne"
"Matter itself has energy called ________?","Potential energy, Chemical energy, Nuclear energy","Rest energy"
"Kirchhoff’s 2nd rule is related to: ___________?","IR Drops, Battery emf, junction voltages","both “1” and “2”"
"The power is the dot product of ___________ quantities.","Force and time, Force and speed, None of these","Force and velocity"
"CGS system of units is also called __________?","Metric system, Metric or British system of units, None of these","Metric or French system of units"
"A person wears spectates with concave lenses. It means that normally (when not using glasses), the image of distant objects is focused in his eyes:","behind the retina, on the retina, on the blind spot","in front of the retina"
"A bird sitting on a high tension electric wire does not get electrocuted because:","Sit has high resistance, the body is earthed, its feet are good insulators","it does not form a closed path for the flow of current"
"To measure the speed of an approaching car a police officer shines?","light waves on it, microwaves on it, ultra high frequency waves on it","radio waves on it"
"A photostat machine works on _____________?","electromagnetic image making, magnetic image making, thermal image making","electrostatic image making"
"The owl can see most clearly in total darkness because:","it has squint eyes, it has light bulbs in its eyes provided by nature, it produces infrasonic sounds","it has large eyes with orbs directed forward, giving it binocular sight"
"The audio signals of TV are _____________?","Amplitude modulated, fixe modulated, Velocity modulated","Frequency modulated"
"Which of the following statements is true when we see ‘rainbow’ ?","We face sun and raindrops, In light rainfall, we face Sun, The sky remains clear and the sun is at lower position in the sky","The Sun remains behind us and we face raindrops"
"Rain drops fall from great height Which among the following statements is true regarding it?","they fall with same ultimate velocity, their velocity increases and they fall with different velocity on the earth, their velocity increases and they fall with same velocity on the earth","they fall with that ultimate velocity, which are different for different droplets"
"Why the needle of iron swims on water surface when it is kept gently ?","It will remain under the water, when it will displace more water than its weight, the density of needle is less than that of water, due to its shape","due to surface tension"
"Which of the following are not deflected by electric and magnetic fields ?","Alpha rays, Beta rays, None of these","Gamma rays"
"The value of acceleration due to gravity is minimum on which of these planets?","Mars, Jupiter, Neptune","Mercury"
"The value of R ( Universal Gas Constant ) = ___________?","6.5 J/mole K, 1.314 J/mole K, 10.314 J/mole K","8.314 J/mole K"
"Mirage is an example of ___________?","reflection of light, refraction of light, Scattering of light","Refraction and total internal reflection of light"
"A Circle has a number of tangents equal to _________?","0, 1, 2","Infinite"
"What is unit of conductivity?","Ohm, Watt, None of these","mho"
"In fission process_______.","massive nucleus join together, both A & B, None of these","massive nucleus splits to form smaller fragments"
"What is the acceleration of free fall on the moon of that on the Earth ?","1/4th, 1/8th, None of these","1/6th"
"CGS unit of Force is_________?","Newton, Erg, Joule","Dyne"
"The Capacity of doing work is called_________?","Work, Power, Momentum","Energy"
"What is the force of attraction between any two bodies by virtue of their masses is called?","Electromagnetic Force, Centripetal Force, Nuclear Force","Gravitational Force"
"By how many times are the Electrostatic forces stronger than the Gravitational Forces for a fixed distance?","None of these","10"
"If we look at the floating piece of iceberg on the sea, approximately what fraction of it is visible above the seawater level?","1/6th, 1/10th, None of these","1/8th"
"Ohm is a unit of measuring _________?","Voltage, Current, None of these","Resistance"
"An artificial satellite revolves round the Earth in circular orbit, which quantity remains constant?","Angular Displacement, Linear Velocity, None of the above","Angular Momentum"
"If a lift is going up with acceleration, the apparent weight of a body is:","More or less the true weight, Less than the true weight, Equal to the true weight","More than the true weight"
"With the increase of pressure, the boiling point of any substance:","Decreases, Remains same, Becomes Zero","Increases"
"Which one of the following has the highest value of specific heat?","Alcohol, Methane, Kerosene","Water"
"If electrical conductivity increases with the increase of temperature of a substance, then it is a:","Conductor, Insulator, None of the above","Semiconductor"
"Young’s modulus is the property of __________?","Gas only, Liquid only, All of the above","Solid only"
"Which of the following is used to control rods in nuclear fission?","Graphite, Heavy Water, All of these","Cadmium"
"Tick the correct statement_________________?","Moderators bring the neutrons to rest, Moderators absorb the neutrons, Moderators reflect the neutrons","Moderators slow down the neutrons"
"Atom is the smallest particall which is_________?","Divisible, Both, Non of these","Indivisible"
"Potential energy means?","Due to motion of object, Due to gravity, None of these","Due to position of object"
"A ball is thrown towards the earth and bounce back. During this process:","Direction of velocity and acceleration changes, Direction of Displacement and acceleration changes, Direction of Displacement, Velocity and acceleration changes","Direction of Displacement and Velocity changes"
"An object travels at constant speed around a circle of radius 1.0 m in 2.0 seconds. What is the magnitude of its acceleration?","0, 2 π, 4 π","π"
"A football is kicked at 45 degrees with horizontal with K.E of E. Its K.E. at highest point is","Zero, E, E/(2)","E/2"
"The internal energy of the system increases__________?","in adiabatic expansion, in isothermal expansion, in isothermal compression","in adiabatic compression"
"What is the ratio of the velocity of sound at 4 atmosphere to that at 1 atmosphere?","4 : 1, 2 : 1, 1 : 2","1 : 1"
"The first overtone of a stretched string of given length is 320 Hz. The first harmonic is_________?","320 Hz, 640 Hz, 480 Hz","160 Hz"
"Two identical metal balls with charges + 2Q and – Q are separated by some distance, and exert a force F on each other. They are joined by a conducting wire, which is then removeThe force between them will now be_________?","F, F/2, F/4","F/8"
"A cube of side 5 cm has a charge of 6 The surface density of charge is_________?","100 C m, 200 C m, 300 C m","400 C m"
"In bringing an electron towards the second electron, the electrostatic potential energy of the system","Decreases, remains the same, becomes zero","increases"
"How many electrons per second constitute a current of one micro ampere?","one electron, 10 electrons, 10 electrons","6.25 × 10 electrons"
"A piece of copper and a piece of germanium are cooled from the room temperature down to 77 K.","The resistance of each of them increases., The resistance of each of them decreases., The resistance of copper increases and that of germanium decreases","The resistance of copper decreases and that of germanium increases."
"Two parallel beams of positrons moving in the same direction will________?","not interact with each other, attract each other, be deflected normal to the plane containing the two beams.","repel each other"
"An emf of 5 volt is produced by a self inductance, when the current changes at a steady rate from 3 to 2 ampere in 1 milliseconThe value of self inductance is_______?","zero, 5 H, 5000 H","5 mH"
"The core of a transformer is laminated to reduce energy losses due to__________?","Hysteresis, Resistance in winding, None of these","Eddy currents"
"Which of the following is true ?","Lyman series is a continuous spectrum., Balmer series is a line spectrum in the ultraviolet., the spectral series formula can be derived from the Rutherford model of the hydrogen atom.","Paschen series is a line spectrum in the infra re"
"Electric current in a solid metal conductor is caused by the movement of what ?","Protons, Metal atoms, Metal ions","Electrons"
"A force On particle is conservative if:________?","It’s works equals the change in the kinetic energy of the particle., It’s obeys Newton’s second law, It’s obeys Newton’s third law .","It work depends on the end points of every motion, not on the path between"
"A Stone thrown from the top of a tall building follows a path that is:","Circular, Made of two straight line segments, Hyperbolic","Parabolic"
"The speed of light will be minimum while passing through ?","Vaccum, Water, Air","Glass"
"Farad is the unit of___________?","inductance, voltage, None of these","capacitance"
"The efficiency of the Carnot engine working between 150°C and 50°C is__________?","50%, 100%, 29.4%","23.6%"
"Which instrument is suitable to measure the internal diameter of a test tube?","Screw Gauge, Bore Gauge, None","Vernier Callipers"
"A force applied on a body through the string is called_________?","Weight, Momentum, Torque","Tension"
"Gravitation force of moon is_________?","7.2 m/s², 9.8 m/s², 3.75 m/s²","1.62 m/s²"
"Gravitation force of sun is__________?","362 m/s², 300 m/s², None of these","274 m/s²"
"Gravitation force of earth is___________?","7.21 m/s², 1.62 m/s², None of these","9.80 m/s²"
"The centripetal acceleration produced in a rotating body is commonly due to change on_________of body?","magnitude, both, None of these","direction"
"The mass-energy relation is the outcome of____________?","Quantum theory, General theory of relativity, None of these","Special theory of relativity"
"Mach number is used in connection with the speed of___________?","Ship, Light, Sound","aircraft"
"Rutherford in his atomic model could not explain behavior of ___________ ?","Protons, Neutrons, Neutrino","Electrons"
"Joule Thomson effect is based upon __________ ?","Sudden compression of gases, Cooling of gases, Heating of gases","Sudden expansion of gases"
"Medium which sends signal from source to destination is known as ________ ?","Transmitter, Receiver, Hardware","Transmission channel"
"Newton’s Third Law of Motion?","., attraction or repulsion between two charges, volume of a given mass of gas increases or decreases","every action there is an equal and opposite reaction"
"Oil rises up to wick in a lamp because_____________?","Oil is very light, Oil is volatile, Diffusion of oil through the wick","Capillary action phenomenon"
"Which one of the following is not a radioactive element ?","Thorium, Radium, Uranium","Cadmium"
"The most suitable unit for expressing nuclear radius is_______?","Angstrom, Micro, Nano meter","Fermi"
"The turning effect of force is called_________?","Moment, Momentum, None of these","Torque"
"Which of the following waves have smallest velocity in vacuum?","Ultraviolet, Infra-Red, Micro","Sound"
"Who were the pioneers of Physics?","Egyptians, Latin, Persians","Greek"
"Which one of the following is not vector quantity _______?","Acceleration, Displacement, Force","Speed"
"The least count of Vernier caliper is ________ containing 10 Vernier scale divisions?","0.001mm, 0.01mm, 0.0001mm","0.1mm"
"Which of the following is not derived quantity________?","Density, Volume, Area","Time"
"The symbol of the prefix used for Mega is_______?","G, h, E","M"
"Name the SI unit having the symbol cd?","Cm, Ampere, Second","Candela"
"Which of the following branch of Physics deals with the internal structure of earth?","Biophysics, Plasma physics, Atomic physics","Geophysics"
"The average acceleration caused by gravity per second is____________?","22 feet, 52 feet, 42 feet","32 feet"
"A stone is thrown upward from the top of a 59.4m high cliff with an upward velocity component of 19.6m/s how long is the stone in the air?","4.00 s, 5.00 s, 7.00 s","6.00 s"
"The value of γ for diatomic gas is_______________?","1.67, γ = 1.3, None","1.4"
"In which process all the heat supplied is converted into work done ?","isochoric, isobaric, isentropic","isothermal"
"The performance of a refrigerator is described by________________?","efficiency, both A and B, not described","coefficient of performance"
